exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.8919491525423728,0.9790697674418605,0.8190661478599222,23.532898295670748
0,0,2,ga,0.5062240663900415,0.5422222222222223,0.47470817120622566,24.135278820991516
0,0,2,bnb,0.6706161137440758,0.8575757575757575,0.5505836575875487,456.993567481637
0,0,2,decaf,0.5981308411214954,0.4399633363886343,0.933852140077821,0.3548962473869324
0,0,2,kmeans,0.699099099099099,0.6499162479061976,0.7563352826510721,2.531051829457283
0,0,2,hierarchical,0.7034482758620689,0.6306027820710973,0.7953216374269005,1.434664960950613
1,0,2,gra,0.49363369245837413,0.499009900990099,0.4883720930232558,19.923886999487877
1,0,2,ga,0.6392092257001648,0.5558739255014327,0.751937984496124,13.053444165736437
1,0,2,bnb,0.8761706555671176,0.946067415730337,0.8158914728682171,166.63004979118705
1,0,2,decaf,0.4874822862541332,0.3222985633978763,1.0,0.45510614290833473
1,0,2,kmeans,0.6903553299492388,0.9963369963369964,0.5281553398058253,2.249089330434799
1,0,2,hierarchical,0.6903553299492388,0.9963369963369964,0.5281553398058253,1.4831142239272594
2,0,2,gra,0.9498069498069498,0.944337811900192,0.9553398058252427,21.46952885016799
2,0,2,ga,0.5327354260089686,0.495,0.5766990291262136,13.150944329798222
2,0,2,bnb,0.717948717948718,0.7294589178356713,0.7067961165048544,173.05076628550887
2,0,2,decaf,0.7341411261582323,0.579954954954955,1.0,0.3382098637521267
2,0,2,kmeans,0.7654504839910647,0.6200241254523522,1.0,2.304602812975645
2,0,2,hierarchical,0.7654504839910647,0.6200241254523522,1.0,1.390136729925871
3,0,2,gra,0.9042553191489361,0.826580226904376,0.9980430528375733,39.05698839202523
3,0,2,ga,0.5139220365950677,0.43297587131367293,0.6320939334637965,8.506605062633753
3,0,2,bnb,0.9042553191489361,0.826580226904376,0.9980430528375733,16.22404632344842
3,0,2,decaf,0.42292171105730425,0.3598901098901099,0.512720156555773,0.34735819324851036
3,0,2,kmeans,0.9990186457311089,1.0,0.9980392156862745,2.2270624078810215
3,0,2,hierarchical,0.9990186457311089,1.0,0.9980392156862745,1.2946135737001896
4,0,2,gra,0.9209694415173867,0.997716894977169,0.8551859099804305,18.836753584444523
4,0,2,ga,0.8295454545454545,0.8036697247706422,0.8571428571428571,12.651109620928764
4,0,2,bnb,0.9243697478991595,0.9977324263038548,0.8610567514677103,504.83751774579287
4,0,2,decaf,0.73953488372093,0.9111747851002865,0.6223091976516634,0.3366374485194683
4,0,2,kmeans,1.0,1.0,1.0,2.0946993194520473
4,0,2,hierarchical,1.0,1.0,1.0,1.5351225398480892
5,0,2,gra,0.906951871657754,0.9976470588235294,0.8313725490196079,18.439366932958364
5,0,2,ga,0.5411764705882354,0.5952941176470589,0.49607843137254903,8.508551400154829
5,0,2,bnb,0.5997693194925028,0.7282913165266106,0.5098039215686274,43.49936770647764
5,0,2,decaf,0.6319082377476537,0.6748329621380846,0.5941176470588235,0.33609721809625626
5,0,2,kmeans,0.9980392156862744,0.9960861056751468,1.0,2.282249938696623
5,0,2,hierarchical,0.9990186457311089,0.9980392156862745,1.0,1.3321860991418362
6,0,2,gra,0.8514412416851441,0.9896907216494846,0.7470817120622568,17.324832513928413
6,0,2,ga,0.8583690987124464,0.9569377990430622,0.7782101167315175,13.04549753293395
6,0,2,bnb,0.9798657718120806,0.9659735349716446,0.9941634241245136,312.6522235311568
6,0,2,decaf,0.608695652173913,0.6504424778761062,0.5719844357976653,0.35350046306848526
6,0,2,kmeans,1.0,1.0,1.0,2.207692638039589
6,0,2,hierarchical,1.0,1.0,1.0,1.380719866603613
7,0,2,gra,1.0,1.0,1.0,16.208687476813793
7,0,2,ga,0.6223132036847492,0.6537634408602151,0.59375,12.481165032833815
7,0,2,bnb,0.7627450980392156,0.765748031496063,0.759765625,201.27565295621753
7,0,2,decaf,0.7444345503116652,0.6841243862520459,0.81640625,0.3418816439807415
7,0,2,kmeans,1.0,1.0,1.0,2.0793806426227093
7,0,2,hierarchical,1.0,1.0,1.0,1.3613658137619495
8,0,2,gra,0.8089668615984406,0.8073929961089494,0.810546875,47.80705522373319
8,0,2,ga,0.5238970588235293,0.4947916666666667,0.556640625,23.451046604663134
8,0,2,bnb,0.788,0.8073770491803278,0.76953125,783.8198350779712
8,0,2,decaf,0.53125,0.3622159090909091,0.99609375,0.35247817263007164
8,0,2,kmeans,0.6854219948849104,0.988929889298893,0.5244618395303327,2.4298200607299805
8,0,2,hierarchical,0.6880616174582799,1.0,0.5244618395303327,1.5386741682887077
9,0,2,gra,0.999020568070519,0.9980430528375733,1.0,15.436443276703358
9,0,2,ga,0.6769570011025358,0.7732997481108312,0.6019607843137255,23.439026203006506
9,0,2,bnb,0.6599799398194583,0.675564681724846,0.6450980392156863,630.2621272914112
9,0,2,decaf,0.5317044793484584,0.37799834574028124,0.8960784313725491,0.33792904764413834
9,0,2,kmeans,1.0,1.0,1.0,1.98922423645854
9,0,2,hierarchical,1.0,1.0,1.0,1.2896077930927277
10,0,2,gra,0.8421052631578947,0.8600405679513184,0.8249027237354085,17.64760460332036
10,0,2,ga,0.7245657568238213,1.0,0.5680933852140078,44.252575386315584
10,0,2,bnb,0.8657587548638133,0.8657587548638133,0.8657587548638133,1161.261034451425
10,0,2,decaf,0.4517241379310345,0.4055727554179567,0.5097276264591439,0.33681492879986763
10,0,2,kmeans,1.0,1.0,1.0,2.286804024130106
10,0,2,hierarchical,1.0,1.0,1.0,1.300005204975605
11,0,2,gra,0.8328502415458937,0.8225190839694656,0.8434442270058709,18.968716643750668
11,0,2,ga,0.5348837209302325,0.5297504798464492,0.5401174168297456,12.97323925793171
11,0,2,bnb,0.7125984251968503,0.7168316831683168,0.7084148727984344,281.69027960672975
11,0,2,decaf,0.6653569089718402,0.5,0.9941291585127201,0.34319620952010155
11,0,2,kmeans,0.7350746268656716,0.6998223801065719,0.7740667976424361,2.426366947591305
11,0,2,hierarchical,0.7350746268656716,0.6998223801065719,0.7740667976424361,1.2967823706567287
12,0,2,gra,0.9970731707317073,0.9941634241245136,1.0,18.79195412620902
12,0,2,ga,0.9498464687819856,0.9957081545064378,0.9080234833659491,7.946689382195473
12,0,2,bnb,0.9432404540763675,0.9978165938864629,0.8943248532289628,44.57392878085375
12,0,2,decaf,0.6697892271662763,0.8338192419825073,0.5596868884540117,0.3602227345108986
12,0,2,kmeans,1.0,1.0,1.0,1.4586913548409939
12,0,2,hierarchical,1.0,1.0,1.0,1.2147968672215939
13,0,2,gra,0.928503336510963,0.9085820895522388,0.949317738791423,14.735523022711277
13,0,2,ga,0.7070270270270269,0.7936893203883495,0.6374269005847953,12.321082096546888
13,0,2,bnb,0.657293497363796,0.5984,0.7290448343079922,71.53690629079938
13,0,2,decaf,0.7238912732474964,0.5717514124293785,0.98635477582846,0.33338501304388046
13,0,2,kmeans,0.9014084507042254,0.8205128205128205,1.0,1.3613168708980083
13,0,2,hierarchical,0.9990243902439024,0.9980506822612085,1.0,1.1983207911252975
14,0,2,gra,0.7309753483386925,0.8157894736842105,0.6621359223300971,17.141044590622187
14,0,2,ga,0.6240837696335079,0.6772727272727272,0.5786407766990291,24.26142042130232
14,0,2,bnb,0.876210979547901,0.9830917874396136,0.7902912621359224,210.77108561620116
14,0,2,decaf,0.6324358171571697,0.466728280961183,0.9805825242718447,0.3279662914574146
14,0,2,kmeans,0.6820512820512822,1.0,0.5175097276264592,2.1975443102419376
14,0,2,hierarchical,0.6820512820512822,1.0,0.5175097276264592,1.269386149942875
15,0,2,gra,0.7626728110599078,0.9297752808988764,0.646484375,19.86907510086894
15,0,2,ga,0.7168874172185429,0.6221264367816092,0.845703125,13.130541145801544
15,0,2,bnb,0.7723132969034608,0.7235494880546075,0.828125,85.60848398506641
15,0,2,decaf,0.6116098144823459,0.44089732528041414,0.998046875,0.34812353178858757
15,0,2,kmeans,0.7202216066481995,0.6818181818181818,0.7632093933463796,2.1986635364592075
15,0,2,hierarchical,0.7385952208544532,0.5862068965517241,0.9980430528375733,1.2780516110360622
16,0,2,gra,0.8644688644688644,0.8151986183074266,0.9200779727095516,18.005326576530933
16,0,2,ga,0.5139318885448916,0.5460526315789473,0.4853801169590643,12.961840745061636
16,0,2,bnb,0.4003795066413662,0.3900184842883549,0.41130604288499023,56.79447942227125
16,0,2,decaf,0.5953307392996109,0.446064139941691,0.8947368421052632,0.34136567264795303
16,0,2,kmeans,0.6861499364675984,0.9818181818181818,0.52734375,2.224256753921509
16,0,2,hierarchical,0.6633906633906634,0.8940397350993378,0.52734375,1.259343832731247
17,0,2,gra,0.8684210526315789,0.9924812030075187,0.7719298245614035,16.727491583675146
17,0,2,ga,0.504,0.5174537987679672,0.49122807017543857,21.860100127756596
17,0,2,bnb,0.6271970397779834,0.596830985915493,0.6608187134502924,357.4460797011852
17,0,2,decaf,0.5704874835309619,0.43084577114427863,0.8440545808966862,0.441511619836092
17,0,2,kmeans,0.690537084398977,1.0,0.52734375,2.2066545002162457
17,0,2,hierarchical,0.7252543940795559,0.6889279437609842,0.765625,1.3915409371256828
18,0,2,gra,0.8373056994818653,0.891832229580574,0.7890625,18.365009803324938
18,0,2,ga,0.5887961859356377,0.7553516819571865,0.482421875,7.883937172591686
18,0,2,bnb,0.6165228113440198,0.8361204013377926,0.48828125,23.885170191526413
18,0,2,decaf,0.644430459408433,0.4753946146703807,1.0,0.3387678489089012
18,0,2,kmeans,0.8651059085841695,1.0,0.762278978388998,2.066201601177454
18,0,2,hierarchical,0.8651059085841695,1.0,0.762278978388998,1.3407361432909966
19,0,2,gra,0.9583333333333333,0.9777327935222672,0.9396887159533074,19.785601805895567
19,0,2,ga,0.7050505050505051,0.7331932773109243,0.6789883268482491,24.01413730531931
19,0,2,bnb,0.9113660062565172,0.9820224719101124,0.8501945525291829,1234.560013603419
19,0,2,decaf,0.6763070077864294,0.7896103896103897,0.5914396887159533,0.3530118018388748
19,0,2,kmeans,0.7225352112676057,0.565600882028666,1.0,2.1497238650918007
19,0,2,hierarchical,0.7225352112676057,0.565600882028666,1.0,1.2670245431363583
